area,UTM_X,UTM_Y
1.602398,648198.233006,4999038.08522
10.167551,671225.35447,5018710.3027
11.29395,587843.368354,5018670.35657
12.81565,632353.847451,5032197.03918
1.010949,682668.870342,5032398.71357
17.066321,656737.335733,4999185.27786
8.8175,682104.292607,5019054.22454
7.661603,585572.513502,4999326.16965
1.9415,656379.307057,4999614.47122
1.4948,584657.910903,4999700.99081
1.194199,585045.731274,4999774.51723
1.077651,655918.177835,5032574.82914
17.455498,588305.8555,4999818.44254
3.74985,651484.494581,5032737.44125
9.047702,639482.841302,5000069.24757
4.188753,617449.514507,5000026.73329
5.114399,585251.097329,5000222.17736
4.634048,611762.58253,5019470.40851
2.207801,595332.008559,5000315.96173
1.541975,578954.718301,5000327.48411
1.20445,585545.088644,5000475.04005
9.192698,651839.864243,5000414.88037
2.842333,590324.483277,5019822.87795
3.141998,596576.259085,5000508.38537
2.249601,588200.043703,5019946.93447
1.13935,620747.452235,5000662.36415
8.68325,668457.226731,5019734.12359
20.16905,618685.927327,5000641.20971
3.148399,684130.494124,5020018.89968
2.709148,591708.76079,5000911.18497
3.528502,617382.3306,5000880.0813
1.514399,588098.701102,5020170.12421
3.566552,580786.700284,5000914.39929
2.764647,627884.156865,5000811.57985
2.9027,651749.196506,5033417.94548
1.714798,664510.356144,5020389.37829
3.536149,596798.064755,5001521.3702
6.055649,612258.155596,5020366.28815
11.528752,673283.1946,5033714.28886
5.30615,664157.809385,5020380.20253
2.5522,591309.661884,5001770.48402
1.78245,642721.429685,5001874.32138
7.111802,620600.250848,5020535.15142
5.659599,601006.816483,5020642.05224
4.355302,592700.455044,5020791.71433
4.173097,653902.199531,5002108.56853
